"FileName","Hash"
"C:\Windows\System32\ApplySettingsTemplateCatalog.exe","90DDE506A0E86E03C0A52D80A9D1E36B"
"C:\Windows\System32\ApplyTrustOffline.exe","CD17A36735389E45DC82C76E2B44CFED"
"C:\Windows\System32\AppManagementConfiguration.dll","846E04D4A7BB7CF587EB173CF6076C89"
"C:\Windows\System32\appmgmts.dll","9F7F9EF3CB7B2DB1DE97A8DC2A8053E7"
"C:\Windows\System32\appmgr.dll","2CDD11029DA84114FB9028F25CFB32F1"
"C:\Windows\System32\AppMon.dll","E681795DB5F6AADABE35E4B962E56499"
"C:\Windows\System32\AppointmentActivation.dll","C57E86F849BCDE16DD9E157C944D0D7C"
"C:\Windows\System32\AppointmentApis.dll","5FCAB6AE52D694A521F4633D3E8A1F88"
"C:\Windows\System32\appraiser.dll","FA6CB01E90DC12BBF4B03084C6A25BBC"
"C:\Windows\System32\AppReadiness.dll","188973F42C88B759B60AB3C39231C9DC"
"C:\Windows\System32\apprepapi.dll","7F88B667AEDE19EA1B9375014E7D1EFF"
"C:\Windows\System32\AppResolver.dll","6B7C1DC7E1964AB975664EF8EC218465"
"C:\Windows\System32\ApproveChildRequest.exe","8A9273F02903EAFF641334180E9FA312"
"C:\Windows\System32\appsruprov.dll","7580361CD7070406215119F13A2DF4F8"
"C:\Windows\System32\AppVCatalog.dll","2DF5CD5D7A71696E33D2E78FA540CA71"
"C:\Windows\System32\AppVClient.exe","8A22C0B9A4476A703218A0694C5C82BD"
"C:\Windows\System32\AppvClientEventLog.dll","6151290BD5E013D4119FC41EBB593F0B"
"C:\Windows\System32\AppVClientPS.dll","DC3439A4A8B789E968BB63EB7861F9F6"
"C:\Windows\System32\AppVDllSurrogate.exe","F66D66B26DF64931A38D83BD31598E51"
"C:\Windows\System32\AppVEntStreamingManager.dll","A2DE23C4B5F469BA7932D8BBDFFC0357"
"C:\Windows\System32\AppVEntSubsystemController.dll","00999868362D27B65E7CBA17F39C9CE0"
"C:\Windows\System32\AppVEntSubsystems64.dll","9D08DF687FA4B5FEEB576D7862AF7FED"
"C:\Windows\System32\AppVEntVirtualization.dll","4692C40E2745AB369A46FB5FA17A0F56"
"C:\Windows\System32\appvetwclientres.dll","00002AC6117ED7DB9803A62ECCF392B0"
"C:\Windows\System32\appvetwsharedperformance.dll","C9F07AB7C9749E21ADD3C7CD9B456C08"
"C:\Windows\System32\appvetwstreamingux.dll","66E3A3BCCCF082E49B3DC9367038E2C3"
"C:\Windows\System32\AppVFileSystemMetadata.dll","56ACC182138D8B80BAACF69F109EF1CC"
"C:\Windows\System32\AppVIntegration.dll","86BAB9238B0FBD20F1A8AC7A44B8C5B6"
"C:\Windows\System32\AppVManifest.dll","DB78D7053ED0CE8395DB0741B0FB6F31"
"C:\Windows\System32\AppVNice.exe","A4D12E47C9C6FDA6EEA62A44695DCCF0"
"C:\Windows\System32\AppVOrchestration.dll","A7A5C6D04487B8B1250721B5058BC72C"
"C:\Windows\System32\AppVPolicy.dll","21BB213E6E714F698F7ACF8667BC70AC"
"C:\Windows\System32\AppVPublishing.dll","BE1D9540E7D3F5420CEDF559B5D2EE9C"
"C:\Windows\System32\AppVReporting.dll","C7BCF98AC16389CFE04D961654169063"
"C:\Windows\System32\AppVScripting.dll","0E8FF55639915176B5EAC08BB553B897"
"C:\Windows\System32\AppVSentinel.dll","ACB1CE223316D544D5E6D97899901243"
"C:\Windows\System32\AppVShNotify.exe","6A13A6112525F3AEEA23881088DC85A2"
"C:\Windows\System32\AppVStreamingUX.dll","C14173BBDE6406A790C8FFABBD5D0866"
"C:\Windows\System32\AppVStreamMap.dll","279BF9C18502065DC99ED12914D9D2B2"
"C:\Windows\System32\AppVTerminator.dll","1057793ECDC467FE0291E93915E17C5D"
"C:\Windows\System32\appwiz.cpl","5FE93EA3F26CAD1924128CFC5769E36B"
"C:\Windows\System32\AppxAllUserStore.dll","26A5BEF5D8A351B4B34C2DD461EDE759"
"C:\Windows\System32\AppXApplicabilityBlob.dll","E8795C406D7BC37C9FF9B36E2ED3825A"
"C:\Windows\System32\AppxApplicabilityEngine.dll","067E971C0E2E83797805DE3C731E9B6D"
"C:\Windows\System32\AppXDeploymentClient.dll","AC345D8F221B366D2CE56E99386595F6"
"C:\Windows\System32\AppXDeploymentExtensions.desktop.dll","EC10C6B3272C25FC2BCBF079CBF58363"
"C:\Windows\System32\AppXDeploymentExtensions.onecore.dll","3BBB94B719C94B5F1B62BAB551C99BB6"
"C:\Windows\System32\AppXDeploymentServer.dll","420013CA2653F79DA8669E7F91872AD1"
"C:\Windows\System32\AppxPackaging.dll","0BC58A81F0D9110B1E3812462406B5FF"
"C:\Windows\System32\AppxProvisioning.xml","3D7FF4B04224F03AF5B3894878B1D33B"
"C:\Windows\System32\AppxSip.dll","577DBB84E03E995D507840258C52913F"
"C:\Windows\System32\AppxStreamingDataSourcePS.dll","280F40D38D95C5397FE612C561044CA3"
"C:\Windows\System32\AppxSysprep.dll","1F989866D845D19EBE7AA55C87C2C161"
"C:\Windows\System32\archiveint.dll","7605725C6464C7272BF3115901DF5776"
"C:\Windows\System32\ARP.EXE","2AF1B2C042B83437A4BE82B19749FA98"
"C:\Windows\System32\asferror.dll","095F83F3A59C1FE3F0FE09B83FCB61BB"
"C:\Windows\System32\aspnet_counters.dll","E5D9781623B04FB02D65C63B64B78CAA"
"C:\Windows\System32\AssignedAccessCsp.dll","190FECC4112CCA63459A0A6112E17088"
"C:\Windows\System32\AssignedAccessGuard.exe","03E640F4B40F239D98A78CBC94E29EC8"
"C:\Windows\System32\AssignedAccessManager.dll","3C585086CAF91B07BF3FCED8FD075005"
"C:\Windows\System32\assignedaccessmanagersvc.dll","167DE146ECE1CBA27354A26EC4A13A74"
"C:\Windows\System32\assignedaccessproviderevents.dll","30B24DE0E5E731E8C03C2874ED2510CD"
"C:\Windows\System32\AssignedAccessRuntime.dll","7F66B1C1D5A8407ECC1DCC2BF8AEC856"
"C:\Windows\System32\AssignedAccessShellProxy.dll","4A7D7FAA19DE743CA6B22C91140FAEE2"
"C:\Windows\System32\asycfilt.dll","2F736540FAA03A49C0FC208A84A67983"
"C:\Windows\System32\at.exe","15FE2283B40819234C9909E841EBCA0A"
"C:\Windows\System32\AtBroker.exe","30076E434A015BDF4C136E09351882CC"
"C:\Windows\System32\atl.dll","C4E01EC19F24B292C25BD28B7A210CC4"
"C:\Windows\System32\atlthunk.dll","BC58CBC9B92ACEDE2D6B1B64795BB735"
